x;y;species;natural;denotation;age;family;genus;leaf_type;health;object:city;relation:site
-75,57733412;6,26009785;Bambusa sp.;tree;university;mature;Poaceae;Bambusa; ; ;Medellin;Volador
-75,57807471;6,26018567;Schefflera actinophylla;tree;university; ;Araliaceae;Heptapleurum; ;0;Medellin;Volador
-75,57743101;6,26012009;Bambusa sp.;tree;university;mature;Poaceae;Bambusa; ; ;Medellin;Volador
-75,57630413;6,26620729;Sterculia sp.;tree;university;mature;Malvaceae;Sterculia; ; ;Medellin;Volador
-75,57712524;6,2656892;Erythrina fusca;tree;university;mature;Fabaceae;Erythrina; ; ;Medellin;Volador
-75,57625387;6,26615599;Dipteryx oleifera;tree;university;mature;Fabaceae;Dipteryx; ; ;Medellin;Volador
-75,57714808;6,26583082;Livistona chinensis;tree;university;mature;Arecaceae;Livistona;palm; ;Medellin;Volador
-75,5771676;6,26576514;Livistona chinensis;tree;university;mature;Arecaceae;Livistona;palm; ;Medellin;Volador
-75,57713496;6,26596435;Casearia sp.;tree;university;mature;Salicaceae;Casearia; ; ;Medellin;Volador
-75,57709522;6,26595575;Ormosia sp.;tree;university;mature;Fabaceae;Ormosia; ; ;Medellin;Volador
-75,57597333;6,26585343;Erythrina fusca;tree;university;mature;Fabaceae;Erythrina; ; ;Medellin;Volador
-75,57609705;6,26568738;Terminalia ivorensis;tree;university;mature;Combretaceae;Terminalia; ; ;Medellin;Volador
-75,57615327;6,26589112;Cedrela odorata;tree;university;mature;Meliaceae;Cedrela; ; ;Medellin;Volador
-75,57604215;6,26584995;Erythrina fusca;tree;university;mature;Fabaceae;Erythrina; ; ;Medellin;Volador
-75,57611176;6,26593722;Erythrina fusca;tree;university;mature;Fabaceae;Erythrina; ; ;Medellin;Volador
-75,57618694;6,26590303;Erythrina fusca;tree;university;mature;Fabaceae;Erythrina; ; ;Medellin;Volador
-75,57532787;6,26478657;Sapindus saponaria;tree;university;mature;Sapindaceae;Sapindus; ; ;Medellin;Volador
-75,57529952;6,26476702;Bauhinia kalbreyeri;tree;university;mature;Fabaceae;Bauhinia; ; ;Medellin;Volador
